NAME, VALUE, LEVEL0TYPE, LEVEL0NAME, LEVEL1TYPE, LEVEL1NAME
"COMMENT", "Design views by mapping to base tables" , "SCHEMA", "meta", "TABLE", "design_view_table_usage"
"COMMENT", "Discover Schemas as built. Reflects information_schema.schemata" , "SCHEMA", "meta", "TABLE", "discover_schema"
"COMMENT", "Discover Tables as built. Reflects information_schema.tables" , "SCHEMA", "meta", "TABLE", "discover_table"
"COMMENT", "Discover Table Constraints as built. Reflects information_schema.table_constraints" , "SCHEMA", "meta", "TABLE", "discover_table_constraint"
"COMMENT", "Discover Columns as built. Reflects information_schema.columns" , "SCHEMA", "meta", "TABLE", "discover_column"
"COMMENT", "Discover Check Constraints as built. Reflects information_schema.check_constraints" , "SCHEMA", "meta", "TABLE", "discover_check_constraint"
"COMMENT", "Discover Foreign Key Constraints as built. Reflects information_schema.referential_constraints" , "SCHEMA", "meta", "TABLE", "discover_referential_constraint"
"COMMENT", "Discover Constraint Table Usages as built. Reflects information_schema.constraint_table_usage" , "SCHEMA", "meta", "TABLE", "discover_constraint_table_usage"
"COMMENT", "Discover Constraint Column Usages as built. Reflects information_schema.constraint_column_usage" , "SCHEMA", "meta", "TABLE", "discover_constraint_column_usage"
"COMMENT", "Discover Functions and Stored Procedures as built. Reflects information_schema.routines" , "SCHEMA", "meta", "TABLE", "discover_routine"
"COMMENT", "Discover Columns returned by Table-Valued Functions as built. Reflects information_schema.routine_columns" , "SCHEMA", "meta", "TABLE", "discover_routine_column"
"COMMENT", "Discover Parameters for Functions and Stored Procedures as built. Reflects information_schema.parameters" , "SCHEMA", "meta", "TABLE", "discover_parameter"
"COMMENT", "Discover Views as built. Reflects information_schema.views" , "SCHEMA", "meta", "TABLE", "discover_view"
"COMMENT", "Discover View Table Usages as built. Reflects information_schema.view_table_usage" , "SCHEMA", "meta", "TABLE", "discover_view_table_usage"
"COMMENT", "Discover View Column Usages as built. Reflects information_schema.view_column_usage" , "SCHEMA", "meta", "TABLE", "discover_view_column_usage"
